Prachojem v hlavnom potrubí slúži na:|zachytávanie špecifických ťažších častíc v stlačenom vzduchu|zachytávanie ľahších nečistôt, ktoré unáša stlačený vzduch|zachytávanie všetkých nečistôt, ktoré sa ešte nachádzajú v hlavnom potrubí
Filtre v odbočkách napájacieho potrubia slúžia na:|privádzanie stlačeného vzduchu k prístrojom a odstraňujú jemné nečistoty|zachytávanie väčších nečistôt|zachytávanie väčších nečistôt pred vstupom do brzdičov a škrtičov vzduchu 
Spätná záklopka je zariadenie, ktoré:|dovoľuje priechod vzduchu len jedným smerom|oddeľuje obvody vzduchu za kompresorom|rozvádza vzduch do brzdových obvodov HKV
Dvojitá spätná záklopka oddeľuje od seba:|dva obvody tlakovej brzdy HKV|obvod kompresora a obvod vzduchotlakovej brzdy|obvod napájacieho a priebežného potrubia
V systéme rozvodu stlačeného vzduchu kohúty slúžia: (i)|na uzatváranie a otváranie vstupu do brzdových alebo prístrojových obvodov|ako montážne prvky|na dovolenie priechodu vzduchu jedným smerom
Kohúty sú konštruované na tlak: (i)|10 barov|20 barov|15 barov
Medzi vzduchovou spojkou priebežného potrubia a vzduchovou spojkou napájacieho potrubia je rozdiel:|v zrkadlovom vyhotovení ich tvarov|v rozdielnom materiáli z ktorého boli zhotovené|vo veľkosti spojok
Prepúšťač je prístroj, ktorý sa používa systéme rozvodu vzduch HV, montuje sa: (i)|medzi hlavný a prístrojový vzduchojem|medzi hlavný a pomocný vzduchojem|od kompresora k hlavnému vzduchojemu
Prepúšťač na HV zabraňuje tomu, aby sa pri plnení: (i)|prázdneho hlavného vzduchojemu súčasne plnil aj prístrojový vzduchojem|prázdneho hlavného potrubia súčasne plnil aj pomocný vzduchojem|jedného vzduchojemu súčasne plnil aj druhý vzduchojem hlavného vzduchojemu
Poistné ventily sú súčasťou armatúry , ktorá zabezpečuje prevádzku tlakových nádob a pripojených priestorov. Používajú sa ako ochrana:|proti prekročeniu maximálneho prevádzkového tlaku vo vzduchojemoch|pracovného tlaku vo výtlačnom potrubí a prístrojovom potrubí HV|prevádzkového tlaku vo všetkých obvodoch HV
Na hnacích vozidlách sa tlakomery požívajú na meranie:|tlaku v hlavnom potrubí, hlavnom vzduchojeme, brzdových valcoch, prístrojovom vzduchojeme a iných obvodoch|tlaku v hlavných vzduchojemoch, priebežnom potrubí|výtlaku I. a II. Stupňa kompresie, hlavnom, pomocnom a zásobovačom vzduchojeme
Prietokomer je kontrolný prístroj, ktorý sa vkladá do:|napájacieho potrubia, pred brzdič samočinnej brzdy a signalizuje pretekanie zvýšeného množstva vzduchu brzdičom|priebežného potrubia, za brzdič samočinnej brzdy a signalizuje svetelne a akusticky poruchu vo vzduchovom obvode HV|napájacieho potrubia, pred záklopku záchrannej brzdy a signalizuje otvorenie záklopky a tým aj možnosť premostenia záchrannej brzdy
Priebežná samočinná brzda vlaku reguluje rýchlosť alebo zastavenie vlaku v požadovaných miestach. Účinkovanie brzdy sa vyvoláva zmenou: (i)|prevádzkového tlaku v hlavnom potrubí (5 barov)|napájacieho tlaku v napájacom potrubí (10 barov)|plniaceho tlaku v brzdiči samočinnej brzdy (5 barov)
Čím je oddelený obvod priamočinnej a samočinnej brzdy od seba?|dvojitými spätnými záklopkami|spätnými záklopkami a tlakovým relé|spätnými záklopkami a škrtičom
Aké polohy má brzdič DAKO BSE?|Š, P, Z, O, J, B, R|VŠ, Z, J, B, O, R|NP, Z, O, J, B, Z, R
Aké polohy má brzdič DAKO BS/2?|VŠ, J, N, B-O, Z, R|VŠ, NP, N, J, B-O, R|Záver, J, B-O, Z, R
Plnenie brzdy na prevádzkový tlak pri brzdiči DAKO BSE rušňovodič prevedie:|rukoväťou ovládača OBE1 podrží v polohe prevádzkového odbrzdenia "O" a po asi 20 sek. sa rukoväť prestaví do polohy jazdnej "J"|rukoväťou ovládača OBE1 podrží v polohe vysokotlaký švih "VŠ" a po asi 10 sek. sa rukoväť prestaví do polohy jazdnej "J"|rukoväťou ovládača OBE1 podrží v polohe jazda "J", pokiaľ sa tlak neustáli
Záver brzdiča DAKO BSE, poloha "Z" sa používa pri:|zisťovaní tesnosti brzdy v odbrzdenom stave|odvetrávaní riadiaceho vzduchojemu|uzamknutí brzdiča
Poloha "B"- prevádzkové brzdenie, brzdiča DAKO BSE sa používa na zavádzanie brzdiaceho stupňa, ktorý sa preruší prestavením rukoväte ovládača OB1 do polohy:|"J"|"O"|"Z"
Poloha "R"- rýchločinné brzdenie sa používa: (i)|v prípade nebezpečenstva|na pomalšie zavedenie brzdiaceho stupňa|na rýchlejšie zavedenie brzdiaceho stupňa
U brzdiča DAKO BSE na nečinnom hnacom vozidle sa prestaví rukoväť ovládača na obidvoch stanovištiach do polohy:|"Z", a preruší sa spojenie s hlavným potrubím|"R", a preruší sa spojenie s hlavným potrubím|"O", a uzavrie sa kohút pre napájanie brzdiča
Účinkovanie brzdiča DAKO-BP sa vykonáva nasledovne:|pri brzdení sa otáča rukoväťou brzdiča proti smeru otáčania hodinových ručičiek a pri odbrzďovaní sa natáča rukoväť v smere chodu hodinových ručičiek|pri brzdení sa otáča rukoväťou brzdiča v smeru otáčania hodinových ručičiek a pri odbrzďovaní sa natáča rukoväť proti smeru chodu hodinových ručičiek|rukoväť brzdiča sa nastaví do polohy brzdenie "B" a pri odbrzďovaní sa nastaví polohu "O"
Rušňové odbrzďovače slúžia na operatívne zníženie:|účinku samočinnej tlakovej brzdy HKV|účinku samočinnej brzdy vlaku|tlaku v brzdových valcoch pri použití priamočinnej brzdy HKV
Rušňový odbrzďovač DAKO OL - 2 je zariadenie ktoré slúži pri:|prevádzkovom brzdení vlaku na operatívne zníženie brzdiaceho účinku HKV|brzdení vlaku na operatívne zníženie brzdiaceho účinku vlaku|prevádzkovom odbrzďovaní vlaku na operatívne zníženie brzdiaceho účinku HKV
Stav kotúčovej brzdy je signalizovaná farbami, ktoré vyjadrujú:|čierna farba - brzda je bez vzduchu, zelená farba- brzda je odbrzdená, červená farba- brzda je zabrzdená|žltá farba - brzda je bez vzduchu, zelená farba – brzda je zabrzdená, červená farba – brzda je odbrzdená|zelená farba - brzda je bez vzduchu, biela farba – brzda je odbrzdená, červená farba – brzda je zabrzdená
